Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-02 00:00:00+09:00,27855.69369378537,27855.69369378537,27419.751839783396,27573.322265625,6264,0.0,0.0,0.0
2018-01-03 00:00:00+09:00,27786.33941638339,27949.817612272258,27474.244678777373,27598.091796875,88926,0.0,0.0,0.0
2018-01-04 00:00:00+09:00,27736.801361484948,27791.294095004563,27147.2890625,27147.2890625,8050,0.0,0.0,0.0
2018-01-05 00:00:00+09:00,27221.59645717959,27528.737308925745,27221.59645717959,27394.982421875,2514,0.0,0.0,0.0
2018-01-08 00:00:00+09:00,27533.690766259224,27533.690766259224,26547.867725149907,26850.0546875,24768,0.0,0.0,0.0
2018-01-09 00:00:00+09:00,26810.4240522541,26909.501746460508,26577.59147086904,26592.453125,5760,0.0,0.0,0.0
2018-01-10 00:00:00+09:00,26622.178544387658,26622.178544387658,25993.0351362862,26171.375,12308,0.0,0.0,0.0
2018-01-11 00:00:00+09:00,26141.649294280014,26696.484375,26136.695409630727,26696.484375,8579,0.0,0.0,0.0
2018-01-12 00:00:00+09:00,26577.59147086904,26592.453125,25988.07919034091,26592.453125,16984,0.0,0.0,0.0
2018-01-15 00:00:00+09:00,26424.020073560492,26424.020073560492,26156.51030903626,26369.52734375,7967,0.0,0.0,0.0
2018-01-16 00:00:00+09:00,26399.251073635252,27385.074110537753,26399.251073635252,27360.3046875,154612,0.0,0.0,0.0
2018-01-17 00:00:00+09:00,27588.183705901272,27766.523553883395,27152.241855278306,27434.61328125,8060,0.0,0.0,0.0
2018-01-18 00:00:00+09:00,27741.755313224025,27999.35732684682,27647.63150055416,27796.248046875,30699,0.0,0.0,0.0
2018-01-19 00:00:00+09:00,27870.55469031329,27949.816843716242,27340.489039431042,27513.875,3357,0.0,0.0,0.0
2018-01-22 00:00:00+09:00,27503.968360102423,27503.968360102423,26533.006941049814,26602.361328125,9073,0.0,0.0,0.0
2018-01-23 00:00:00+09:00,26746.0239697463,26959.041015625,26646.946273988768,26959.041015625,7469,0.0,0.0,0.0
2018-01-24 00:00:00+09:00,26959.04003745543,27147.287652564453,26959.04003745543,27092.794921875,4132,0.0,0.0,0.0
2018-01-25 00:00:00+09:00,27077.93390086497,27662.492298285764,26949.132898043437,27598.091796875,13117,0.0,0.0,0.0
2018-01-26 00:00:00+09:00,27712.031688385174,27756.61665177371,27558.461258935775,27632.76953125,3586,0.0,0.0,0.0
2018-01-29 00:00:00+09:00,27900.278761853642,28034.033649383833,27612.953447899894,27687.26171875,2494,0.0,0.0,0.0
2018-01-30 00:00:00+09:00,27588.183934013196,27588.183934013196,27068.026039764427,27127.47265625,11581,0.0,0.0,0.0
2018-01-31 00:00:00+09:00,26850.05608827308,27290.951843228115,26840.148318498806,26993.71875,7163,0.0,0.0,0.0
2018-02-01 00:00:00+09:00,27162.150053940095,27444.521484375,27162.150053940095,27444.521484375,5317,0.0,0.0,0.0
2018-02-02 00:00:00+09:00,27419.753748327028,27419.753748327028,26612.27048527783,26835.1953125,6390,0.0,0.0,0.0
2018-02-06 00:00:00+09:00,25061.70308004506,26042.572265625,24828.870495589214,26042.572265625,10163,0.0,0.0,0.0
2018-02-07 00:00:00+09:00,26805.469958971815,26949.132614453272,26186.234375,26186.234375,9846,0.0,0.0,0.0
2018-02-08 00:00:00+09:00,26404.20707188812,27355.352992676584,26404.20707188812,27142.3359375,8889,0.0,0.0,0.0
2018-02-09 00:00:00+09:00,26245.681945220793,26795.563163778646,26245.681945220793,26587.5,7262,0.0,0.0,0.0
2018-02-12 00:00:00+09:00,26755.931098935158,26998.671447731274,26577.591250840054,26721.25390625,3544,0.0,0.0,0.0
2018-02-13 00:00:00+09:00,27127.474092509234,27157.197402325713,26825.287109375,26825.287109375,1603,0.0,0.0,0.0
2018-02-14 00:00:00+09:00,26973.90200729618,27434.61328125,26949.13258396533,27434.61328125,6849,0.0,0.0,0.0
2018-02-19 00:00:00+09:00,27821.016609450726,27821.016609450726,27390.028638470987,27598.091796875,6398,0.0,0.0,0.0
2018-02-20 00:00:00+09:00,27657.54054723337,27657.54054723337,26983.812172806764,26998.673828125,2574,0.0,0.0,0.0
2018-02-21 00:00:00+09:00,27315.72080122075,27707.077700621627,27295.905262010576,27518.830078125,2246,0.0,0.0,0.0
2018-02-22 00:00:00+09:00,27414.799054358435,27434.61459397127,27127.473729972313,27285.998046875,1143,0.0,0.0,0.0
2018-02-23 00:00:00+09:00,27177.012995007663,27474.24609375,27177.012995007663,27474.24609375,39327,0.0,0.0,0.0
2018-02-26 00:00:00+09:00,27677.353629892335,27677.353629892335,27355.35112659128,27434.61328125,4535,0.0,0.0,0.0
2018-02-27 00:00:00+09:00,27662.492304652213,27736.80057552789,27419.751953125,27419.751953125,1213,0.0,0.0,0.0
2018-02-28 00:00:00+09:00,27429.660283363803,27429.660283363803,26889.68683729433,27097.75,4052,0.0,0.0,0.0
2018-03-06 00:00:00+09:00,26963.994993807944,27256.274197305036,26963.994993807944,27251.3203125,2966,0.0,0.0,0.0
2018-03-07 00:00:00+09:00,27563.413849457815,27563.413849457815,27063.07150603667,27068.025390625,2106,0.0,0.0,0.0
2018-03-08 00:00:00+09:00,27266.181098781155,27266.181098781155,27003.62521247385,27231.50390625,2120,0.0,0.0,0.0
2018-03-09 00:00:00+09:00,27454.42935363846,27930.002290836095,27390.02885172628,27647.630859375,13312,0.0,0.0,0.0
2018-03-12 00:00:00+09:00,27930.002275478728,28004.310546875,27825.97069552395,28004.310546875,12022,0.0,0.0,0.0
2018-03-13 00:00:00+09:00,28336.220044919188,28811.79296875,28242.096237077676,28811.79296875,16482,0.0,0.0,0.0
2018-03-14 00:00:00+09:00,28618.59342324016,28732.532777357268,28504.654069123055,28633.455078125,23106,0.0,0.0,0.0
2018-03-15 00:00:00+09:00,28608.684468456166,28608.684468456166,28336.22080685182,28450.16015625,25232,0.0,0.0,0.0
2018-03-16 00:00:00+09:00,28445.207357961972,28450.161242907627,28113.297066602958,28430.345703125,15946,0.0,0.0,0.0
2018-03-19 00:00:00+09:00,28623.54775876697,28732.53322963801,28460.06955246041,28465.0234375,5561,0.0,0.0,0.0
